"","model_scenario","Category","Variable","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"20","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|5.0th Percentile",2.27536467850292,2.82994990903162,2.93284296569584,2.93557781521632,2.85216779939506,2.7779917733834,2.68596076879262,2.59245362879501,2.51574808466837
"21","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|50.0th Percentile",2.73737370150504,3.21717997533436,3.2954692739261,3.28589707804199,3.20277218975687,3.13612944286021,3.06099157917144,2.98735926759346,2.91798286302478
"22","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|67.0th Percentile",2.86580345926172,3.33126321291661,3.4015269008079,3.39780868272649,3.3074068044838,3.24611848965053,3.17487618808601,3.10474216126422,3.03700840420833
"23","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|95.0th Percentile",3.3121802738549,3.65669721582021,3.69527060558734,3.66260926722653,3.58367219050052,3.54981340357507,3.49927479225646,3.46801460013953,3.43848405816903
"24","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Emissions|Kyoto Gases (AR5-GWP100)",95544.0388442781,58348.962869004,43619.5293243762,33151.8267652259,28628.6842670028,22383.8540702648,18011.0853214424,16102.8996571682,14505.4944554043
"25","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Emissions|Kyoto Gases (AR6-GWP100)",95793.17844995,58528.4663316337,43812.6961182394,33359.2325139694,28845.1593835787,22605.787569354,18236.6214033824,16334.5574816066,14742.9552656471
"26","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 1.5C|CICERO-SCM",0.0416666666666666,0.33,0.431666666666666,0.435,0.366666666666666,0.326666666666667,0.271666666666667,0.226666666666667,0.203333333333333
"27","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 1.5C|FaIRv1.6.2",0.0236924452391595,0.443898077782745,0.584711667411712,0.639696021457309,0.641484130531962,0.654000894054537,0.643719266875279,0.650871703173894,0.668305766651766
"28","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 1.5C|MAGICCv7.5.3",0.0183333333333333,0.505,0.693333333333333,0.75,0.731666666666667,0.71,0.673333333333333,0.658333333333333,0.636666666666667
"29","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 2.0C|CICERO-SCM",0,0.0183333333333333,0.045,0.0583333333333333,0.0483333333333333,0.0433333333333333,0.035,0.0233333333333333,0.02
"30","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 2.0C|FaIRv1.6.2",0,0.0062583817612874,0.0590075994635672,0.102369244523916,0.120250335270451,0.139472507822977,0.146624944121591,0.16092981671882,0.178363880196692
"31","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 2.0C|MAGICCv7.5.3",0,0.015,0.11,0.17,0.181666666666667,0.201666666666667,0.2,0.198333333333333,0.196666666666667
"32","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 2.5C|CICERO-SCM",0,0,0.0033333333333333,0.0083333333333333,0.0083333333333333,0.0083333333333333,0.0083333333333333,0.0033333333333333,0.0033333333333333
"33","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 2.5C|FaIRv1.6.2",0,0,0.0013410818059901,0.0040232454179704,0.0098345999105945,0.0151989271345552,0.0192221725525257,0.0245864997764863,0.0295037997317836
"34","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 2.5C|MAGICCv7.5.3",0,0,0,0.0116666666666666,0.0133333333333333,0.0316666666666666,0.0416666666666666,0.05,0.0583333333333333
"35","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 3.0C|CICERO-SCM",0,0,0,0.0016666666666666,0.0016666666666666,0.0016666666666666,0.0016666666666666,0.0016666666666666,0.0016666666666666
"36","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 3.0C|FaIRv1.6.2",0,0,0,0,0,0.0013410818059901,0.0013410818059901,0.0035762181493071,0.0049172999552972
"37","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Exceedance Probability 3.0C|MAGICCv7.5.3",0,0,0,0,0,0.0033333333333333,0.005,0.0066666666666666,0.01
"38","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Infilled|Emissions|CH4",394.957586794416,278.682680238151,234.251557392399,189.509212272026,169.670103055929,156.211780276295,147.969270348467,143.120860439493,138.209237902044
"39","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Infilled|Emissions|CO2",39690.4215961519,21324.6165816922,14347.8499869372,9462.67314172996,7205.32364231864,4058.32206201523,1838.92584761451,853.199368409931,186.681804328856
"40","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Infilled|Emissions|F-Gases",1879.08417768361,1157.2152454821,1257.57559409863,1362.49202056696,1431.26019569131,1481.38971049699,1529.55682077596,1574.43121165833,1619.75662547373
