"","model_scenario","Category","temp","Year","Value"
"1","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2000,9.15
"2","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2010,14.47
"3","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2020,34.67
"4","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2030,34.67
"5","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2040,1336.2654
"6","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2050,4553.8003
"7","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2060,7639.6964
"8","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2070,8715.8678
"9","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2080,9110.8833
"10","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2090,9117.6701
"11","AIM/CGE 2.0_SSP1-26","C3","2.0°C",2100,9219.4939
"12","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2000,9.15
"13","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2010,14.47
"14","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2020,34.67
"15","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2030,34.67
"16","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2040,34.67
"17","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2050,34.67
"18","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2060,368.9161
"19","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2070,2495.4861
"20","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2080,4086.5835
"21","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2090,5525.6711
"22","AIM/CGE 2.0_SSP1-34","C5","2.5°C",2100,6312.408
"23","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2000,9.15
"24","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2010,14.47
"25","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2020,34.67
"26","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2030,587.5846
"27","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2040,5483.0044
"28","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2050,12470.7935
"29","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2060,18040.6882
"30","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2070,20236.2297
"31","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2080,19918.0029
"32","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2090,19086.2447
"33","AIM/CGE 2.0_SSP4-26","C3","2.0°C",2100,18279.3424
"34","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2000,9.15
"35","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2010,14.47
"36","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2020,34.67
"37","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2030,34.67
"38","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2040,1074.9653
"39","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2050,2932.3526
"40","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2060,6493.7639
"41","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2070,10064.4903
"42","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2080,12606.293
"43","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2090,14135.7214
"44","AIM/CGE 2.0_SSP4-34","C5","2.5°C",2100,15688.0611
"45","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2000,9.15
"46","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2010,14.47
"47","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2020,34.67
"48","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2030,447.8407
"49","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2040,1729.137
"50","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2050,7269.3529
"51","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2060,12083.7619
"52","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2070,14451.9765
"53","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2080,15210.7345
"54","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2090,16609.8157
"55","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","C5","2.5°C",2100,19586.2732
"56","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2000,9.15
"57","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2010,14.47
"58","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2020,34.67
"59","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2030,447.8407
"60","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2040,2385.883
"61","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2050,11114.4943
"62","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2060,17678.4296
"63","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2070,19504.6261
"64","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2080,21458.3589
"65","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2090,23191.9435
"66","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","C4","2.0°C",2100,24280.4575
"67","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2000,9.15
"68","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2010,14.47
"69","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2020,34.67
"70","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2030,165.1229
"71","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2040,5486.5234
"72","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2050,12110.7327
"73","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2060,17195.9868
"74","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2070,20372.931
"75","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2080,22123.5069
"76","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2090,23485.8285
"77","AIM/CGE 2.1_CD-LINKS_NPi2020_1000","C3","2.0°C",2100,25642.0757
"78","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2000,9.15
"79","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2010,14.47
"80","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2020,34.67
"81","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2030,112.8459
"82","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2040,3238.8901
"83","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2050,4954.1371
"84","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2060,9560.1381
"85","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2070,12529.4434
"86","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2080,12914.2556
"87","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2090,14061.2402
"88","AIM/CGE 2.1_CD-LINKS_NPi2020_1600","C5","2.5°C",2100,17696.1912
"89","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2000,9.15
"90","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2010,14.47
"91","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2020,34.67
"92","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2030,447.1913
"93","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2040,6191.3515
"94","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2050,13070.7759
"95","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2060,14163.8322
"96","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2070,16061.4131
"97","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2080,15730.8817
"98","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2090,15995.1644
"99","AIM/CGE 2.1_CD-LINKS_NPi2020_400","C1","1.5°C",2100,14763.9594
"100","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2000,9.15
"101","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2010,14.47
"102","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2020,34.67
"103","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2030,607.0326
"104","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2040,4322.7466
"105","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2050,10925.4705
"106","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2060,14423.5697
"107","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2070,15445.0932
"108","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2080,15926.3239
"109","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2090,16327.4087
"110","AIM/CGE 2.1_CO_Bridge","C3","2.0°C",2100,16601.56
"111","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2000,9.15
"112","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2010,14.47
"113","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2020,34.67
"114","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2030,448.4248
"115","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2040,4190.2919
"116","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2050,10129.2639
"117","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2060,14615.228
"118","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2070,18641.2134
"119","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2080,19578.3198
"120","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2090,19170.5678
"121","AIM/CGE 2.2_EN_INDCi2030_1000f","C3","2.0°C",2100,18763.1998
"122","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2000,9.15
"123","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2010,14.47
"124","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2020,34.67
"125","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2030,448.4248
"126","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2040,4234.8074
"127","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2050,10248.5748
"128","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2060,14871.1829
"129","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2070,17835.5121
"130","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2080,16845.9249
"131","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2090,16054.9319
"132","AIM/CGE 2.2_EN_INDCi2030_1200","C4","2.0°C",2100,15260.8374
"133","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2000,9.15
"134","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2010,14.47
"135","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2020,34.67
"136","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2030,448.4248
"137","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2040,4436.4902
"138","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2050,10287.8511
"139","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2060,14056.0997
"140","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2070,18889.3439
"141","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2080,21773.6576
"142","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2090,21001.1587
"143","AIM/CGE 2.2_EN_INDCi2030_1200f","C4","2.0°C",2100,20176.7623
"144","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2000,9.15
"145","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2010,14.47
"146","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2020,34.67
"147","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2030,448.4248
"148","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2040,4647.4159
"149","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2050,10351.8396
"150","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2060,14911.1522
"151","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2070,19101.0707
"152","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2080,20077.2235
"153","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2090,18667.7933
"154","AIM/CGE 2.2_EN_INDCi2030_1400","C4","2.0°C",2100,17252.7564
"155","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2000,9.15
"156","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2010,14.47
"157","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2020,34.67
"158","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2030,448.4248
"159","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2040,4691.9909
"160","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2050,9210.5206
"161","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2060,13630.8031
"162","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2070,17763.1805
"163","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2080,21836.4779
"164","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2090,22750.7118
"165","AIM/CGE 2.2_EN_INDCi2030_1400f","C4","2.0°C",2100,21485.8393
"166","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2000,9.15
"167","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2010,14.47
"168","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2020,34.67
"169","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2030,448.4248
"170","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2040,4669.4791
"171","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2050,8503.4995
"172","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2060,12693.2672
"173","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2070,16621.4416
"174","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2080,21151.98
"175","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2090,19542.768
"176","AIM/CGE 2.2_EN_INDCi2030_1600","C5","2.5°C",2100,17950.2634
"177","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2000,9.15
"178","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2010,14.47
"179","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2020,34.67
"180","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2030,448.4248
"181","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2040,4255.3912
"182","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2050,7766.3907
"183","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2060,11910.1924
"184","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2070,15580.4623
"185","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2080,20409.249
"186","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2090,21585.6462
"187","AIM/CGE 2.2_EN_INDCi2030_1600f","C5","2.5°C",2100,20046.4017
"188","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2000,9.15
"189","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2010,14.47
"190","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2020,34.67
"191","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2030,448.4248
"192","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2040,3505.2066
"193","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2050,6239.9975
"194","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2060,10464.7756
"195","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2070,14521.9409
"196","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2080,19589.9885
"197","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2090,20096.4002
"198","AIM/CGE 2.2_EN_INDCi2030_1800","C5","2.5°C",2100,18323.2857
"199","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2000,9.15
"200","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2010,14.47
"201","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2020,34.67
"202","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2030,448.4248
"203","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2040,3505.2066
"204","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2050,6239.9975
"205","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2060,10464.7756
"206","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2070,14521.9409
"207","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2080,19589.9885
"208","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2090,20096.4002
"209","AIM/CGE 2.2_EN_INDCi2030_1800f","C5","2.5°C",2100,18323.2857
"210","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2000,9.15
"211","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2010,14.47
"212","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2020,34.67
"213","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2030,448.4248
"214","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2040,4094.3172
"215","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2050,12261.0317
"216","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2060,17559.0182
"217","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2070,19174.1409
"218","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2080,18895.7207
"219","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2090,18673.5397
"220","AIM/CGE 2.2_EN_INDCi2030_800f","C3","2.0°C",2100,18397.9779
"221","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2000,9.15
"222","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2010,14.47
"223","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2020,34.67
"224","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2030,448.4248
"225","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2040,4096.0275
"226","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2050,10964.6708
"227","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2060,15837.6185
"228","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2070,19073.5932
"229","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2080,18988.6138
"230","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2090,18734.3928
"231","AIM/CGE 2.2_EN_INDCi2030_900f","C3","2.0°C",2100,18434.9011
"232","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2000,9.15
"233","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2010,14.47
"234","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2020,34.67
"235","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2030,3397.0735
"236","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2040,9901.8582
"237","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2050,13565.907
"238","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2060,16625.6487
"239","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2070,18824.3359
"240","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2080,17512.8455
"241","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2090,16607.0764
"242","AIM/CGE 2.2_EN_NPi2020_1000","C3","2.0°C",2100,15728.798
"243","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2000,9.15
"244","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2010,14.47
"245","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2020,34.67
"246","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2030,3482.9455
"247","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2040,8742.3771
"248","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2050,12081.9536
"249","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2060,15239.6085
"250","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2070,19531.3275
"251","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2080,22034.2302
"252","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2090,22159.957
"253","AIM/CGE 2.2_EN_NPi2020_1000f","C3","2.0°C",2100,21669.5835
"254","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2000,9.15
"255","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2010,14.47
"256","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2020,34.67
"257","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2030,3517.1949
"258","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2040,8994.0204
"259","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2050,12468.103
"260","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2060,15438.0194
"261","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2070,19682.4025
"262","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2080,19253.428
"263","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2090,17998.5635
"264","AIM/CGE 2.2_EN_NPi2020_1200","C3","2.0°C",2100,16768.0397
"265","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2000,9.15
"266","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2010,14.47
"267","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2020,34.67
"268","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2030,3370.2327
"269","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2040,7539.191
"270","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2050,10621.267
"271","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2060,14426.133
"272","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2070,18203.6817
"273","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2080,21398.6125
"274","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2090,22404.0126
"275","AIM/CGE 2.2_EN_NPi2020_1200f","C4","2.0°C",2100,21719.3745
"276","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2000,9.15
"277","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2010,14.47
"278","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2020,34.67
"279","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2030,2833.5234
"280","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2040,7002.011
"281","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2050,10063.0841
"282","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2060,14071.4825
"283","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2070,17649.2937
"284","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2080,20559.8541
"285","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2090,19004.5447
"286","AIM/CGE 2.2_EN_NPi2020_1400","C4","2.0°C",2100,17501.0764
"287","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2000,9.15
"288","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2010,14.47
"289","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2020,34.67
"290","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2030,2482.895
"291","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2040,6287.107
"292","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2050,9270.7838
"293","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2060,13526.2322
"294","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2070,16606.7511
"295","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2080,20497.5439
"296","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2090,21725.5373
"297","AIM/CGE 2.2_EN_NPi2020_1400f","C4","2.0°C",2100,20469.912
"298","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2000,9.15
"299","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2010,14.47
"300","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2020,34.67
"301","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2030,2234.801
"302","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2040,5169.3074
"303","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2050,7543.4533
"304","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2060,11999.6009
"305","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2070,15602.1385
"306","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2080,19671.7286
"307","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2090,20018.3369
"308","AIM/CGE 2.2_EN_NPi2020_1600","C5","2.5°C",2100,18313.5598
"309","AIM/CGE 2.2_EN_NPi2020_1600f","C5","2.5°C",2000,9.15
"310","AIM/CGE 2.2_EN_NPi2020_1600f","C5","2.5°C",2010,14.47
